City,Nom,Adresse,Contact,phone,WhatsApp,phone2,Email,Coordinates,Lundi,,Mardi,,Mercredi,,Jeudi,,Vendredi ,,Samedi,,Dimanche
Casablanca,Western Change,Marina Mal au RDC en face de Marjane.,,,,05 28 21 04 44,western.change.agadir@gmail.com,"33.6070662,-7.6216537",09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,Fermé
Casablanca,Change Goulmima,"550 Rue de Goulmima, Casablanca 20040",,06 89 87 23 65,06 78 15 50 60,05 22 22 83 66,sarafgoulmima@gmail.com,"33.6004365,-7.6376372",08:30-21:00,,08:30-21:00,,08:30-21:00,,08:30-21:00,,08:30-21:00,,08:30-21:00,,08:30-21:00
Casablanca,Aya Change,"410 Bd Mohamed Zerktouni, Casablanca 20040",,06 60 69 40 65,06 60 69 40 65,06 91 56 09 03,,"33.6008156,-7.6387499",10:00-22:30,,10:00-22:30,,10:00-22:30,,10:00-22:30,,10:00–13:30,15:00-22:30,10:00-23:00,,12:00-22:30
Casablanca,Marina Change,"492 Bd Mohamed Zerktouni, Casablanca 20250",,06 23 11 47 42,06 23 11 47 42,05 22 22 03 40,info@marinachange.info,"33.6027644,-7.6393995",09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,Fermé
Casablanca, Azha Change ,22 Rue Mohamed Kamal,,06 45 44 43 43,06 45 44 43 43,0522 26 10 60,,"33.596359,-7.6141535",09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,Fermé
Casablanca,Al Baraka X Change ,"Bd Moulay Idriss I, Casablanca 20250",,,,05 22 85 56 61,,"33.5731911,-7.6121022",08:30-18:00,,08:30-18:00,,08:30-18:00,,08:30-18:00,,09:30–13:00,15:00-20:30,09:00-14:00,,Fermé
Casablanca,Al Baraka X Change - Belvèdére,"Rue Mohamed El Radi Slaoui, Casablanca 20250",,,,05 22 24 37 18 ,,"33.5923619,-7.59419",08:30-18:00,,08:30-18:00,,08:30-18:00,,08:30-18:00,,09:30–13:00,15:00-20:30,09:00-14:00,,Fermé
Casablanca,Abou Yassir Change,"A COTE DE LA MOSQUEE, Boulevard Mohamed V, Casablanca 20250",,06 42 47 47 38,06 42 47 47 38,06 42 47 47 38,,"33.5927821,-7.597912",09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-18:00,,Fermé
Casablanca,Comptoir du cash - Ghandi,"108 Bd Ghandi, Casablanca",,06 59 37 85 16,06 59 37 85 16,05 22 36 05 74,,"33.5745259,-7.6510176",09:00-19:30,,09:00-19:30,,09:00-19:30,,09:00-19:30,,09:00-19:30,,09:00-13:00,,Fermé
Casablanca,Comptoir du cash,"80 Bd Sidi Abderrahmane, Casablanca 20250",,06 51 85 19 26,06 51 85 19 26,05 22 36 71 20,,"33.5661905,-7.6725206",09:00-19:30,,09:00-19:30,,09:00-19:30,,09:00-19:30,,09:00-19:30,,09:00-13:00,,Fermé
